date,rooms_available,price_per_night,room_id
2023-01-01 00:00:00,224,515,136
2023-01-02 00:00:00,381,730,315
2023-01-03 00:00:00,387,171,810
2023-01-04 00:00:00,514,265,525
2023-01-05 00:00:00,216,273,80
2023-01-06 00:00:00,224,446,622
2023-01-07 00:00:00,186,642,814
2023-01-08 00:00:00,386,318,752
2023-01-09 00:00:00,502,855,458
2023-01-10 00:00:00,288,199,513
2023-01-11 00:00:00,236,270,763
2023-01-12 00:00:00,513,467,439
2023-01-13 00:00:00,177,583,89
2023-01-14 00:00:00,171,402,924
2023-01-15 00:00:00,219,310,88
2023-01-16 00:00:00,494,835,960
2023-01-17 00:00:00,197,515,132
2023-01-18 00:00:00,471,784,410
2023-01-19 00:00:00,241,454,740
2023-01-20 00:00:00,417,832,788
2023-01-21 00:00:00,204,741,741
2023-01-22 00:00:00,321,353,862
2023-01-23 00:00:00,287,284,239
2023-01-24 00:00:00,375,640,23
2023-01-25 00:00:00,256,523,645
2023-01-26 00:00:00,407,575,857
2023-01-27 00:00:00,407,491,729
2023-01-28 00:00:00,329,172,58
2023-01-29 00:00:00,402,723,488
2023-01-30 00:00:00,315,548,284
2023-01-31 00:00:00,548,232,510
2023-02-01 00:00:00,288,341,51
2023-02-02 00:00:00,415,669,356
2023-02-03 00:00:00,419,394,361
2023-02-04 00:00:00,427,647,803
2023-02-05 00:00:00,283,481,212
2023-02-06 00:00:00,171,197,563
2023-02-07 00:00:00,175,617,263
2023-02-08 00:00:00,242,257,322
2023-02-09 00:00:00,310,598,914
2023-02-10 00:00:00,328,859,624
2023-02-11 00:00:00,198,622,846
2023-02-12 00:00:00,500,582,40
2023-02-13 00:00:00,179,807,540
2023-02-14 00:00:00,515,230,608
2023-02-15 00:00:00,467,567,802
2023-02-16 00:00:00,235,857,771
2023-02-17 00:00:00,255,408,507
2023-02-18 00:00:00,338,756,198
2023-02-19 00:00:00,266,346,636
2023-02-20 00:00:00,427,428,324
2023-02-21 00:00:00,180,319,83
2023-02-22 00:00:00,548,636,261
2023-02-23 00:00:00,209,532,813
2023-02-24 00:00:00,439,240,196
2023-02-25 00:00:00,238,275,136
2023-02-26 00:00:00,174,513,640
2023-02-27 00:00:00,545,272,703
2023-02-28 00:00:00,185,163,548
2023-03-01 00:00:00,335,253,439
2023-03-02 00:00:00,452,867,718
2023-03-03 00:00:00,282,393,369
2023-03-04 00:00:00,217,171,955
2023-03-05 00:00:00,182,851,838
2023-03-06 00:00:00,437,712,836
2023-03-07 00:00:00,392,675,423
2023-03-08 00:00:00,384,381,963
2023-03-09 00:00:00,507,302,223
2023-03-10 00:00:00,150,415,350
2023-03-11 00:00:00,527,830,905
2023-03-12 00:00:00,521,531,166
2023-03-13 00:00:00,330,237,745
2023-03-14 00:00:00,221,437,951
2023-03-15 00:00:00,539,618,538
2023-03-16 00:00:00,317,508,839
2023-03-17 00:00:00,241,188,720
2023-03-18 00:00:00,267,224,762
2023-03-19 00:00:00,310,671,393
2023-03-20 00:00:00,240,371,44
2023-03-21 00:00:00,166,316,801
2023-03-22 00:00:00,251,504,634
2023-03-23 00:00:00,216,165,573
2023-03-24 00:00:00,189,434,887
2023-03-25 00:00:00,480,406,585
2023-03-26 00:00:00,334,449,13
2023-03-27 00:00:00,403,237,925
2023-03-28 00:00:00,315,831,720
2023-03-29 00:00:00,198,851,225
2023-03-30 00:00:00,159,183,664
2023-03-31 00:00:00,417,339,914
2023-04-01 00:00:00,180,595,539
2023-04-02 00:00:00,503,561,700
2023-04-03 00:00:00,391,336,305
2023-04-04 00:00:00,279,589,539
2023-04-05 00:00:00,267,542,769
2023-04-06 00:00:00,266,851,1
2023-04-07 00:00:00,371,618,888
2023-04-08 00:00:00,223,666,328
2023-04-09 00:00:00,469,706,89
2023-04-10 00:00:00,444,793,173
2023-04-11 00:00:00,273,236,113
2023-04-12 00:00:00,369,504,263
2023-04-13 00:00:00,368,706,836
2023-04-14 00:00:00,226,626,467
2023-04-15 00:00:00,357,277,351
2023-04-16 00:00:00,330,463,12
2023-04-17 00:00:00,545,293,875
2023-04-18 00:00:00,521,617,181
2023-04-19 00:00:00,355,638,92
2023-04-20 00:00:00,224,530,438
2023-04-21 00:00:00,340,276,295
2023-04-22 00:00:00,377,495,353
2023-04-23 00:00:00,400,258,149
2023-04-24 00:00:00,389,844,223
2023-04-25 00:00:00,344,853,361
2023-04-26 00:00:00,522,472,607
2023-04-27 00:00:00,152,775,248
2023-04-28 00:00:00,276,508,652
2023-04-29 00:00:00,155,235,622
2023-04-30 00:00:00,544,239,912
2023-05-01 00:00:00,195,426,156
2023-05-02 00:00:00,516,412,530
2023-05-03 00:00:00,229,629,749
2023-05-04 00:00:00,536,265,212
2023-05-05 00:00:00,330,557,627
2023-05-06 00:00:00,188,684,824
2023-05-07 00:00:00,383,717,120
2023-05-08 00:00:00,404,299,916
2023-05-09 00:00:00,479,306,932
2023-05-10 00:00:00,370,253,839
2023-05-11 00:00:00,233,835,382
2023-05-12 00:00:00,389,851,166
2023-05-13 00:00:00,331,496,152
2023-05-14 00:00:00,317,626,100
2023-05-15 00:00:00,396,608,839
2023-05-16 00:00:00,372,492,467
2023-05-17 00:00:00,491,659,502
2023-05-18 00:00:00,513,652,760
2023-05-19 00:00:00,359,764,36
2023-05-20 00:00:00,438,635,126
